|purchase_id|sales_exec|product|customer|date_of_purchase|no_of_units|
|-----------|----------|-------|--------|----------------|-----------|
|1          |1         |1      |1       |2021-02-07      |9909       |
|2          |1         |1      |2       |2021-02-08      |9909       |
|3          |2         |2      |1       |2021-01-07      |4587       |
|4          |3         |3      |2       |2021-01-07      |4387       |
|5          |4         |4      |3       |2021-02-07      |87         |
|6          |5         |5      |4       |2021-02-07      |7          |
|7          |5         |6      |5       |2021-02-07      |87         |
|8          |6         |4      |6       |2021-02-07      |87         |
|9          |7         |5      |1       |2021-01-07      |687        |
|10         |8         |2      |7       |2021-01-07      |487        |
|11         |7         |7      |8       |2021-02-07      |99         |
|12         |8         |8      |1       |2021-01-07      |990        |
|13         |1         |1      |1       |2021-02-01      |9909       |
|14         |1         |1      |2       |2021-02-01      |9909       |
|15         |2         |2      |1       |2021-01-01      |4587       |
|16         |3         |3      |2       |2021-01-01      |4387       |
|17         |4         |4      |3       |2021-02-01      |87         |
|18         |5         |5      |4       |2021-02-02      |7          |
|19         |5         |6      |5       |2021-02-02      |87         |
|20         |6         |4      |6       |2021-02-02      |87         |
|21         |7         |5      |1       |2021-01-01      |687        |
|22         |8         |2      |7       |2021-01-01      |487        |
|23         |7         |7      |8       |2021-02-01      |99         |
|24         |8         |8      |1       |2021-01-01      |990        |
|25         |1         |2      |1       |2021-02-07      |99209      |
|26         |1         |2      |2       |2021-02-07      |990329     |
|27         |1         |2      |1       |2021-02-07      |992049     |
|28         |1         |2      |2       |2021-02-07      |992309     |
|29         |1         |2      |2       |2021-02-06      |990329     |
|30         |1         |2      |1       |2021-02-06      |992049     |
|31         |1         |2      |2       |2021-02-06      |992309     |
|32         |3         |2      |2       |2021-02-06      |990329     |
|33         |3         |2      |1       |2021-02-06      |992049     |
|34         |3         |2      |2       |2021-02-06      |992309     |
|35         |3         |1      |1       |2021-02-07      |9909       |
|36         |3         |1      |2       |2021-02-07      |9909       |
|37         |3         |2      |1       |2021-02-07      |99209      |
|38         |3         |2      |2       |2021-02-07      |990329     |
|39         |3         |2      |1       |2021-02-07      |992049     |
|40         |3         |2      |2       |2021-02-07      |992309     |
